hits,txAmount,averageTA,visitors,data
24451,38643838,1580.46,12373,1584627/0001654954-17-004131/primary_doc.xml
24456,40399937,1651.94,12377,1444043/0001654954-17-002061/primary_doc.xml
24456,227636388,9308.0,12371,1444043/0001654954-17-002061/infoTable.xml
24457,254639118,10411.71,12356,1444043/0001654954-17-002061/xslForm13F_X01/infoTable.xml
24460,38290727,1565.44,12369,1178652/0001654954-17-004129/primary_doc.xml
24462,38380798,1569.0,12373,1663897/0001654954-17-004454/primary_doc.xml
24462,37720339,1542.0,12380,1343236/0001654954-17-004132/primary_doc.xml
24462,590353612,24133.5,12367,1663897/0001654954-17-004454/xslForm13F_X01/infoTable.xml
24463,652598370,26676.96,12370,1663897/0001654954-17-004454/infoTable.xml
24466,211299707,8636.46,12379,1444043/0001654954-17-004694/infoTable.xml
24466,38093512,1557.0,12358,1444043/0001654954-17-004694/primary_doc.xml
24469,241543744,9871.42,12383,1444043/0001654954-17-004694/xslForm13F_X01/infoTable.xml
25319,52307874,2065.95,25319,932782/9999999997-16-026706/.txt
25957,186144299,7171.26,25221,1191329/0001140361-17-026144/-index.htm
25993,192022540,7387.47,25341,1587447/0001144204-17-034206/-index.htm
26324,186219219,7074.12,25561,943819/0001140361-17-026144/-index.htm
26691,193896696,7264.5,25956,1437557/0001144204-17-034206/-index.htm
28330,33328640,1176.44,13683,941548/0001601389-14-000089/edgardoc.xml
30773,256309287,8329.03,10310,1100663/0001193125-17-215251/-index.htm
31163,190415803,6110.32,10187,1100663/0001193125-17-215069/-index.htm
31858,250259264,7855.46,31571,1709110/0001209191-17-042067/-index.htm
32169,216389522,6726.65,11667,1100663/0001193125-17-215257/-index.htm
32264,250720758,7770.91,31868,1442836/0001209191-17-042067/-index.htm
32895,658764005,20026.27,10027,1100663/0001193125-17-214969/-index.htm
35549,258293515,7265.84,12270,1350487/0001193125-17-213464/-index.htm
36440,3923125037,107659.85,36440,1023844/0001193125-16-710438/.txt
46615,79899141,1714.02,24013,1470766/0000950123-16-022486/-index.htm
594073,8821763694,14849.63,114838,1465643/0001576429-14-000002/-index.htm
1,0,0.0,1,Min
594073,228768285502,0.0,114838,Max
73733725,14529273730393,0.0,58902935,Sum
